Unnamed: 0,Country Name,Economic Freedom,Democracy Index,Regime Type,Continent,size,Country Code
0,Singapore,89.7,6.03,Flawed democracy,Asia,10,SGP
1,New Zealand,83.9,9.25,Full democracy,Oceania,10,NZL
2,Australia,82.4,8.96,Full democracy,Oceania,10,AUS
3,Switzerland,81.9,8.83,Full democracy,Europe,10,CHE
4,Ireland,81.4,9.05,Full democracy,Europe,10,IRL
5,United Kingdom,78.4,8.54,Full democracy,Europe,10,GBR
6,Estonia,78.2,7.84,Flawed democracy,Europe,10,EST
7,Canada,77.9,9.24,Full democracy,North America,10,CAN
8,Denmark,77.8,9.15,Full democracy,Europe,10,DNK
9,Iceland,77.4,9.37,Full democracy,Europe,10,ISL
10,Georgia,77.2,5.31,Hybrid regime,Asia,10,GEO
11,Mauritius,77.0,8.14,Full democracy,Africa,10,MUS
12,United Arab Emirates,76.9,2.7,Authoritarian,Asia,10,ARE
13,Lithuania,76.9,7.13,Flawed democracy,Europe,10,LTU
14,Netherlands,76.8,8.96,Full democracy,Europe,10,NLD
15,Finland,76.1,9.2,Full democracy,Europe,10,FIN
16,Luxembourg,76.0,8.68,Full democracy,Europe,10,LUX
17,Chile,75.2,8.28,Full democracy,South America,10,CHL
18,United States,74.8,7.92,Flawed democracy,North America,10,USA
19,Sweden,74.7,9.26,Full democracy,Europe,10,SWE
20,Malaysia,74.4,7.19,Flawed democracy,Asia,10,MYS
21,Japan,74.1,8.13,Full democracy,Asia,10,JPN
22,South Korea,74.0,8.01,Full democracy,Asia,10,KOR
23,Austria,73.9,8.16,Full democracy,Europe,10,AUT
24,Israel,73.8,7.84,Flawed democracy,Asia,10,ISR
25,Norway,73.4,9.81,Full democracy,Europe,10,NOR
26,Germany,72.5,8.67,Full democracy,Europe,10,DEU
27,Latvia,72.3,7.24,Flawed democracy,Europe,10,LVA
28,Qatar,72.0,3.24,Authoritarian,Asia,10,QAT
29,Armenia,71.9,5.35,Hybrid regime,Asia,10,ARM
30,Cyprus,71.4,7.56,Flawed democracy,Europe,10,CYP
31,Kazakhstan,71.1,3.14,Authoritarian,Asia,10,KAZ
32,Bulgaria,70.4,6.71,Flawed democracy,Europe,10,BGR
33,Malta,70.2,7.68,Flawed democracy,Europe,10,MLT
34,Belgium,70.1,7.51,Flawed democracy,Europe,10,BEL
35,Azerbaijan,70.1,2.68,Authoritarian,Asia,10,AZE
36,Spain,69.9,8.12,Full democracy,Europe,10,ESP
37,Bahrain,69.9,2.49,Authoritarian,Asia,10,BHR
38,Poland,69.7,6.85,Flawed democracy,Europe,10,POL
39,Thailand,69.7,6.04,Flawed democracy,Asia,10,THA
40,Romania,69.5,6.4,Flawed democracy,Europe,10,ROU
41,Uruguay,69.3,8.61,Full democracy,South America,10,URY
42,Jamaica,69.0,7.13,Flawed democracy,North America,10,JAM
43,North Macedonia,68.6,5.89,Hybrid regime,Europe,10,MKD
44,Rwanda,68.3,3.1,Authoritarian,Africa,10,RWA
45,Slovenia,68.3,7.54,Flawed democracy,Europe,10,SVN
46,Colombia,68.1,7.04,Flawed democracy,South America,10,COL
47,Peru,67.7,6.53,Flawed democracy,South America,10,PER
48,Botswana,67.6,7.62,Flawed democracy,Africa,10,BWA
49,Portugal,67.5,7.9,Flawed democracy,Europe,10,PRT
50,Serbia,67.2,6.22,Flawed democracy,Europe,10,SRB
51,Hungary,67.2,6.56,Flawed democracy,Europe,10,HUN
52,Indonesia,66.9,6.3,Flawed democracy,Asia,10,IDN
53,Slovakia,66.3,6.97,Flawed democracy,Europe,10,SVK
54,Panama,66.2,7.18,Flawed democracy,North America,10,PAN
55,Saudi Arabia,66.0,2.08,Authoritarian,Asia,10,SAU
56,France,65.7,7.99,Flawed democracy,Europe,10,FRA
57,Mexico,65.5,6.07,Flawed democracy,North America,10,MEX
58,Albania,65.2,6.08,Flawed democracy,Europe,10,ALB
59,Italy,64.9,7.74,Flawed democracy,Europe,10,ITA
60,Jordan,64.6,3.62,Authoritarian,Asia,10,JOR
61,Oman,64.6,3.0,Authoritarian,Asia,10,OMN
62,Costa Rica,64.2,8.16,Full democracy,North America,10,CRI
63,Philippines,64.1,6.56,Flawed democracy,Asia,10,PHL
64,Kuwait,64.1,3.8,Authoritarian,Asia,10,KWT
65,Guatemala,64.0,4.97,Hybrid regime,North America,10,GTM
66,Turkey,64.0,4.48,Hybrid regime,Asia,10,TUR
67,Kyrgyzstan,63.7,4.21,Hybrid regime,Asia,10,KGZ
68,Croatia,63.6,6.5,Flawed democracy,Europe,10,HRV
69,Montenegro,63.4,5.77,Hybrid regime,Europe,10,MNE
70,Morocco,63.3,5.04,Hybrid regime,Africa,10,MAR
71,Bosnia and Herzegovina,62.9,4.84,Hybrid regime,Europe,10,BIH
72,Namibia,62.6,6.52,Flawed democracy,Africa,10,NAM
73,Paraguay,62.6,6.18,Flawed democracy,South America,10,PRY
74,Moldova,62.5,5.78,Hybrid regime,Europe,10,MDA
75,Mongolia,62.4,6.48,Flawed democracy,Asia,10,MNG
76,Fiji,62.2,5.72,Hybrid regime,Oceania,10,FJI
77,Dominican Republic,62.1,6.32,Flawed democracy,North America,10,DOM
78,Vietnam,61.7,2.94,Authoritarian,Asia,10,VNM
79,Russia,61.5,3.31,Authoritarian,Europe,10,RUS
80,Tanzania,61.3,5.1,Hybrid regime,Africa,10,TZA
81,El Salvador,61.0,5.9,Hybrid regime,North America,10,SLV
82,Belarus,61.0,2.59,Authoritarian,Europe,10,BLR
83,Greece,60.9,7.39,Flawed democracy,Europe,10,GRC
84,Honduras,59.8,5.36,Hybrid regime,North America,10,HND
85,South Africa,59.7,7.05,Flawed democracy,Africa,10,ZAF
86,Benin,59.6,5.09,Hybrid regime,Africa,10,BEN
87,Ghana,59.2,6.5,Flawed democracy,Africa,10,GHA
88,Trinidad and Tobago,59.0,7.16,Flawed democracy,North America,10,TTO
89,Papua New Guinea,58.9,6.1,Flawed democracy,Oceania,10,PNG
90,Nigeria,58.7,4.1,Hybrid regime,Africa,10,NGA
91,Uganda,58.6,4.94,Hybrid regime,Africa,10,UGA
92,China,58.4,2.27,Authoritarian,Asia,10,CHN
93,Uzbekistan,58.3,2.12,Authoritarian,Asia,10,UZB
94,Bhutan,58.3,5.71,Hybrid regime,Asia,10,BTN
95,Gabon,58.1,3.54,Authoritarian,Africa,10,GAB
96,Senegal,58.0,5.67,Hybrid regime,Africa,10,SEN
97,Madagascar,57.7,5.7,Hybrid regime,Africa,10,MDG
98,Togo,57.5,2.8,Authoritarian,Africa,10,TGO
99,Guyana,57.4,6.01,Flawed democracy,South America,10,GUY
100,Niger,57.3,3.29,Authoritarian,Africa,10,NER
101,Cambodia,57.3,3.1,Authoritarian,Asia,10,KHM
102,Tunisia,56.6,6.59,Flawed democracy,Africa,10,TUN
103,Bangladesh,56.5,5.99,Hybrid regime,Asia,10,BGD
104,India,56.5,6.61,Flawed democracy,Asia,10,IND
105,Guinea,56.5,3.08,Authoritarian,Africa,10,GIN
106,Burkina Faso,56.5,3.73,Authoritarian,Africa,10,BFA
107,Nicaragua,56.3,3.6,Authoritarian,North America,10,NIC
108,Djibouti,56.2,2.71,Authoritarian,Africa,10,DJI
109,Ukraine,56.2,5.81,Hybrid regime,Europe,10,UKR
110,Mauritania,56.1,3.92,Authoritarian,Africa,10,MRT
111,Egypt,55.7,2.93,Authoritarian,Africa,10,EGY
112,Sri Lanka,55.7,6.14,Flawed democracy,Asia,10,LKA
113,Comoros,55.7,3.09,Authoritarian,Africa,10,COM
114,Mali,55.6,3.93,Authoritarian,Africa,10,MLI
115,Tajikistan,55.2,1.94,Authoritarian,Asia,10,TJK
116,Myanmar,55.2,3.04,Authoritarian,Asia,10,MMR
117,Eswatini,55.1,3.08,Authoritarian,Africa,10,SWZ
118,Kenya,54.9,5.05,Hybrid regime,Africa,10,KEN
119,Guinea-Bissau,54.9,2.63,Authoritarian,Africa,10,GNB
120,Angola,54.2,3.66,Authoritarian,Africa,10,AGO
121,Lesotho,53.5,6.3,Flawed democracy,Africa,10,LSO
122,Brazil,53.4,6.92,Flawed democracy,South America,10,BRA
123,Cameroon,53.4,2.77,Authoritarian,Africa,10,CMR
124,Malawi,53.0,5.74,Hybrid regime,Africa,10,MWI
125,Afghanistan,53.0,2.85,Authoritarian,Asia,10,AFG
126,Argentina,52.7,6.95,Flawed democracy,South America,10,ARG
127,Ecuador,52.4,6.13,Flawed democracy,South America,10,ECU
128,Sierra Leone,51.7,4.86,Hybrid regime,Africa,10,SLE
129,Ethiopia,51.7,3.38,Authoritarian,Africa,10,ETH
130,Pakistan,51.7,4.31,Hybrid regime,Asia,10,PAK
131,Mozambique,51.6,3.51,Authoritarian,Africa,10,MOZ
132,Lebanon,51.4,4.16,Hybrid regime,Asia,10,LBN
133,Haiti,50.8,4.22,Hybrid regime,North America,10,HTI
134,Nepal,50.7,5.22,Hybrid regime,Asia,10,NPL
135,Chad,50.4,1.55,Authoritarian,Africa,10,TCD
136,Zambia,50.4,4.86,Hybrid regime,Africa,10,ZMB
137,Burundi,49.9,2.14,Authoritarian,Africa,10,BDI
138,Algeria,49.7,3.77,Authoritarian,Africa,10,DZA
139,Equatorial Guinea,49.2,1.92,Authoritarian,Africa,10,GNQ
140,Liberia,49.2,5.32,Hybrid regime,Africa,10,LBR
141,Central African Republic,48.8,1.32,Authoritarian,Africa,10,CAF
142,Iran,47.2,2.2,Authoritarian,Asia,10,IRN
143,Suriname,46.4,6.82,Flawed democracy,South America,10,SUR
144,Bolivia,42.7,5.08,Hybrid regime,South America,10,BOL
145,Eritrea,42.3,2.15,Authoritarian,Africa,10,ERI
146,Zimbabwe,39.5,3.16,Authoritarian,Africa,10,ZWE
147,Sudan,39.1,2.54,Authoritarian,Africa,10,SDN
148,Cuba,28.1,2.84,Authoritarian,North America,10,CUB
149,Venezuela,24.7,2.76,Authoritarian,South America,10,VEN
150,North Korea,5.2,1.08,Authoritarian,Asia,10,PRK
151,Democratic Republic of the Congo,49.0,1.13,Authoritarian,Africa,10,COD
152,Syria,49.0,1.43,Authoritarian,Asia,10,SYR
